type;title;director;country;co_production;date_added;release_year;duration;description
Movie;The Misadventures of Hedi and Cokeman;Julien Royal;France;N;10/02/2021;2021;99;In Paris, two dysfunctional dealers use family ties to try to boost their small drug business in this crass comedy based on the webseries.
Movie;The World We Make;Brian Baugh;United States;N;10/02/2021;2019;108;A teenage equestrian and a local football player fall for each other, but simmering racism in their small town puts their relationship to the test.
TV Show;Five Came Back: The Reference Films;;United States;N;09/02/2021;1945;1;"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back."""
TV Show;ICarly;;United States;N;08/02/2021;2008;2;A cyberstar is born when 13-year-old Carly creates an Internet series with a little help from her best friend Sam and neighbor Freddie.
Movie;What's Eating Gilbert Grape;Lasse Hallström;United States;N;01/01/2021;1993;118;In a backwater Iowa town, young Gilbert is torn between taking care of his troubled family and a girl who shows him new possibilities for his life.
Movie;Alaska Is a Drag;Shaz Bennett;United States;N;31/12/2020;2017;83;Tormented by bullies, an aspiring drag star working at an Alaskan cannery becomes a skilled fighter and is tapped for competition by a boxing coach.
Movie;Bobby Jasoos;Samar Shaikh;India;N;31/12/2020;2014;116;With unlimited determination and zero field experience, a small-town detective accepts a lucrative case from a mysterious – and suspicious – stranger.
TV Show;Chilling Adventures of Sabrina;;United States;N;31/12/2020;2020;4;Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.
Movie;Vir Das: Outside In - The Lockdown Special;Vir Das;India;N;16/12/2020;2020;50;Stage banter takes on a different — deeper — meaning as the comedian performs online shows to homebound viewers worldwide from his Mumbai residence.
TV Show;Black Ink Crew New York;;United States;N;15/12/2020;2014;2;At a Black-owned-and-operated hotspot for ink in Harlem, tattoo king Ceaser looks to expand his empire while working with a rambunctious crew.
Movie;Grizzlies;Miranda de Pencier;Canada;N;15/12/2020;2018;106;A group of disaffected students form an unlikely bond through the game of lacrosse when a new teacher introduces the sport to their remote Arctic town.
Movie;Dolly Parton’s Christmas on the Square;Debbie Allen;United States;N;22/11/2020;2020;99;Seasonal cheer comes to a screeching halt when a cold-hearted woman tries to sell her hometown's land. Can music, magic and memories change her mind?
Movie;Machete Kills;Robert Rodriguez;United States, Russia;Y;22/11/2020;2013;108;Killer-for-hire Machete cuts a deal with the U.S. president to stop a nuclear missile attack but discovers a much larger conspiracy.
Movie;Little Monsters;Richard Greenberg;United States;N;01/11/2020;1989;102;Brian knows there are creatures under his bed. When he faces his fears and confronts them, however, he makes some hilariously weird new friends.
Movie;Mile 22;Peter Berg;United States, China, Colombia;Y;01/11/2020;2018;94;An officer in a top-secret CIA unit leads his team in escorting a prized intelligence asset to safety, with enemy forces hot on their trail.
Movie;Piercing;Nicolas Pesce;United States;N;01/11/2020;2018;81;A family man plots to kill a spellbinding sex worker but ends up in a psychosexual exercise to outwit his twisted target.
